Replies_subject,relation,Replies_object
print,potentially grinding,powder
squares,printed,later thinner
print,potentially grinding powder into,hobbed bolt
user443,bore,lock
your fillament diameter,is,set properly
your fillament diameter,is set properly in,cura
user443,are using,too much
answer443,thus eliminating,thought
extruder e-steps,been,have properly calibrated
answer443,have also tried,various filament manufacturers
answer443,eliminate,bad filament from equation
calibration cubes,are,start
cubes,are,good
answer443,have calibrated,fraction of mm on machine
answer443,am,confident
fri nov 03 2017 2:21,am,printer
fri nov 03 2017 2:21,am printer out of,box
user443,will encounter,similar issues
washer assembly,measure,distance
plate,see,it differs
washer assembly,measure distance from,top of washer to bed
answer443,'d take,look
middle one,should,should slightly thicker
slicers,can,can coaxed
bolts,loosening,z motor
re,adjusting,leadscrew couplings
user444,can also try,re
upper leadscrew,mount,bearings
top picture,also shows,signs
your filament diameter,make,sure
user445,are at,actually 2.67 mm
user445,tell,me
answer445,believe,be wobble
lighter color,more rounded,one
wobble,stops,midway
part,seeing,offset matches exactly
user445,holding part up against,lead screw
user445,holding up,part
your offset setting,is in,cura
your adhesion issue,us,your setting needs adjusted closer
user446,are showing,less wall voids
some,is,factory
user446,are,way
closest,is,direction
user446,need,adjust
whichever one,is closest to,diameter
user446,were trying to,print
whichever one,is,closest
user446,are looking at,inconsistant extrusion leading
user446,check,settings calibration objects
mark,does end up,exactly 10 mm from top of extruder
your e-steps,are off,not
run overhang tests,bridging,tests
good line,is with,melting
answer447,am,interested
answer447,getting,one
taz6,is with,standard extruder
anyone,even offer,suggestion
anyone,be,able
user447,layers on,on your material
answer447,clone,settings
answer447,clone settings in,simplify 3d
answer448,'d try,me
user448,have,bed heater completely cold
user449,'re going,want
l,is version after,version k
user450,piercet for,clarification
heat sink,installed,ic u17
answer450,keep,my warranty
answer450,would like,keep
that,has,electrical
nozzle,is,electrically isolated
nozzle,is electrically isolated from,heater block
user451,tracing wire from,block to harness plug
user451,using,multimeter
user451,using multimeter,check for conductivity
user451,tracing,wire
pausing,is way,go
user452,go to,plugins tab
height,is in,that
user452,change to,expert settings
issue,is with,alignment of carriages on z axis
user453,push at,back
nothing,is,square
telltale sign,was pulling xrods out of,left side plastic holder
telltale sign,was pulling,xrods
answer453,tightened back down,bolts
answer453,have pulled diagonally,frame
answer453,pushed leadnut over,over plastic
answer453,pushed,leadnut
user453,removing,4 bolts on aluminum bracket
holes,is in,wrong place
user453,tension on,x belt
user453,play with,set screws on xshafts
left/right carriages,sure are level without,one higher than other normal calibration step
left/right carriages,are,sure level
user453,slot,aluminum
that,was,good
there must issue,is with,hole perpendicularity thru xbearing block/x motor block
answer453,'ll give,that
anyone,else having,issue
processor,is in,rambo board
user454,need,remember
answer454,have seen there,arduino based md5 libraries
voltage,so reads,about .75 v.
print,is,cancelled
user455,have,restart
thu oct 05 2017 4:37,am,myself
answer456,have,needed number/s
thu oct 05 2017 4:37,place sticker steps with,e
thu oct 05 2017 4:37,place,sticker
single extruder,is in,cura machine settings
user456,have physically changed,extruder
re-flash,probably overwrites,old value
answer456,do still have,cal sheet
answer456,will install,dual
answer456,am,ready
proper fw,is,loaded
answer456,take,jump
rh side,was,almost 3 mm higher than lh side
side,was,higher
rh z axis,lower,rh z axis nut
several shots,are within,now .02 mm
noise,is,gone
filament,higher up,up extruder body
heat,creeps up filament in,other words
pressure,being,pushed
hobbed bolt,cuts,mouse bite
some,will,will much more prone to this than others
filaments,conduct,head
hot end design,plays,big role
print speeds,are,coupled with this
printing,slow for,given temperature
answer458,have,spot
user458,starting from,printer
user458,have,nozzle
user458,have nozzle,you are getting
your print,starts,ok
answer458,fwiw struggled with,printing pla with my taz 5
answer458,had,creep bad
answer458,replaced end fan with,larger one
answer458,found,filament oiler on thingiverse
answer458,used,olive oil
answer458,swapped end in,end
user459,should have,distance
user459,have,one
answer459,corrected,mine
z,offset from,factory default
answer460,tested,extrusion
user461,know like,infill
answer461,was also wondering on,side note
nevermind,has back,them
answer462,'m,so good
https://reprage.com/post/46062359808/qu 3d-printer,adjust,values
greetings,check out,article
axis z,out of height is,your
user464,take,picture
rest,be,adjusted
z,is,once fixed
rest,tensioning,belts
rest,tensioning belts on,axis
knocking sound,is,probably filament
user465,want,8 mm
user465,have,setting incorrect
user465,are under,warranty
user465,call,support
answer466,printing happily for,months now
clean bed,is with,alcohol
pva glue stick,is in,area
user466,lower,your zoffset
initial layer thickness initial layer line width 1st layer speed,try,reprint
user467,manually turn,side lead screw
its motor coupler,failed in,case
bearings,debris inside,leadscrew nut
left side cone,is loosend from,two y-axis rods
left side cone,is,loosend
top plate,lead screw in,place
top plate,holds screw off,that
lead screw,become,harder
lead screw,begins,become
12v fans,work,exactly expected
answer468,keep,thing
answer468,keep thing from,melting nearby wires
user468,are using,3 watt diodes
he,used,2
sounds,is out of,alligntment
measure bearing,ends on,sides
measure,bearing up,up bottom of x axis
side,is higher than,other
side,is,higher
1013,has paved,way for auto bed leveling
1013,has paved way,thanks 1013
our bounding box,is,590x508x505
our width,is,so now 685 mm
filament spool,is for,measurements
printer,has,footprint
's,offset,back by 30 mm on side
answer470,had idea as,user
slot cut,is in,top of our enclosure
filament,attach to,frame of taz
user470,can position,front
spool,have,axis
user470,could print,supports
answer470,think at_time,6828 times
your garage temp,already melting filament on,spool
temp,be,few
user470,print in,your garage
your garage temp,could,could degrees
you summer,is in,arizona
filament,be,chilly
your garage temp,already melting,filament
user470,print in,winter
your filament,sit down in,coolest part
your filament,sits up since,heat rises
hot draft,will cause,same
heat,draft-free oven like,environment
user470,are,exhausting air
user470,have,webcam recording
problem,is with,lights turning on for heat
answer470,would probably use,35w heating rods
user470,think,indoor gas fireplace
user470,bring air in,in outside
benfarmer,has,pictures
things,went,wrong
windows,cut,wood
answer470,do,window openings
windows,cut,glass
wood,is,free materials
that,is,different
enclosure,also does even need,base
user470,set over,cake
user470,set over,pie
three 3 sheets,mm in,thickness
each,attached with,printed corner braces
user470,now have,access to electronics
user470,pulling,machine
more access area,had,one door
user470,see,3 x 6 sheet
plexiglas cut,is in,half
answer470,find,size sheets
answer470,write out,thought process
? fri aug 25 2017 11:59,am had,similar thing happen with my mini
? tue aug 22 2017 7:45,am,3d printer has completed for while
use,can,can printed normally
bearings,oil after,same problem
bearings,oil on,shaft
firmware,is with,normal use of same
answer472,asked,my friend
user472,can contact,him
answer473,would try,old single extruder
answer473,flash back to,setup
answer473,something about,firmware
temperature,is,about 15 degrees under set temp
first nozzle,is,set
lets,try,hotend options
user474,suggest,replacement board comes
answer474,will definitely try,sd card extender
answer474,can greatly reduce,times
answer474,used,taz
cars,have now,wifi
sd cards,are,year
others,avoid,same issue
answer475,does,turn on on control board
two,fuses in,panel
two,fuses under,power cord plug
user475,see up,switch light
switch,needs,both of those working
other two fuses,are,bed heater
answer476,switched to,chisel
answer477,shortly installing,dual head
answer477,get again,contact
answer477,calibrate,z height side
anyone,does have,pointers
user478,can either clean more frequently,nozzle
user478,dial back,your extrusion
answer479,was thinking,more of software modification
auto leveling process,generates,parameters
